chunk_id,brand,model,document_name,document_version,page,section,text
a6af0feaaaa4,HONDA,Amaze,Amaze.pdf,v1,2,exterior_styling,"Disclaimer:*As certified under Rule 115 of CMVR 1989 
 
 
 
The spare wheel does not come with Alloy Wheel and the rim / tyre size may differ from the standard size depending on the variant 
 
 
 
Colors, features and specifications are grade specific 
 
 
 
Terms & Conditions apply 
 
 
 
Golden Brown Metallic
Platinum White Pearl
Lunar Silver Metallic
Meteoroid Gray Metallic
Radiant Red Metallic
SPECIFICATIONS
Engine 
Type 
Water Cooled In-line 4 cylinder, i-VTEC SOHC 
 
Displacement (cm3) 
1 199 
 
No. of Valves 
16 
 
Power (kW [ps] @ rpm) 
66 [90] @ 6 000 
 
Torque (Nm @ rpm) 
110 @ 4 800 
 
Fuel Efficiency* (km/l) 
18.60 (MT), 18.30 (CVT) 
 
Fuel Type 
Compliant with E20 (20% Ethanol blended) Petrol
Transmission 
Manual 
5 Forward & 1 Reverse 
 
Automatic 
CVT (Continuously Variable Transmission) 
Dimensions & Weight 
Overall Length (mm) 
3 995 
 
Overall Width (mm) 
1 695 
 
Overall Height (mm) 
1 501 
 
Wheelbase (mm) 
2 470 
 
Front Track (mm) 
1 490 
 
Rear Track (mm) 
1 487 
 
Kerb Weight (kg) 
920 - 945 
 
Max. GVW (kg) 
1 295 - 1 320 
 
Fuel Tank Capacity (Litres) 
35 
 
Seating Capacity (Persons) 
5 
 
Cargo Space (Litres) 
420 
Steering system 
Type 
Electric Power Assisted 
 
Turning Radius (m) 
4.7 
Suspension system 
Front 
McPherson Strut, Coil Spring 
 
Rear 
Torsion Bar, Coil Spring 
Brake system 
Front 
Disc 
 
Rear 
Drum 
Tyres & wheels 
Wheel Type 
14 x 5 J Steel 
 
Tyre Type & Size 
Tubeless Radial 175/65 R14 
 
Spare Wheel 
Steel Wheel 
PETROL"
abb429045a1f,HONDA,Amaze,Amaze.pdf,v1,3,interior_comfort,"Amaze S* (Standard Features)
Disclaimer:
Colors, features and specifications are grade specific
Amaze S Grade refers to AMAZE RDE S MT/CVT  R (i-VTEC)
Terms & Conditions apply
THE DISTINCTION
OF GREATNESS
Terms and conditions applicable. The Images and depictions shown in this brochure are computer generated/ enhanced for illustrative and representational purpose only. Actual colour, feature and any other specification as shown may not be part of standard fitment and may differ from actual product. Appearance of black shade on glass of vehicle is due to lighting effect. All colours, features and specifications are grade specific and subject to change without prior notice. Please check and experience the availability of 
variants, colours and features at the authorized dealerships. Accessories shown may not be part of standard equipment and need to be purchased separately. ‡Fuel efficiency as certified by ICAT under rule 115 of CMVR 1989. Fuel efficiency figures are based on standard test conditions. Actual fuel efficiency may vary based on road conditions, driving technique, and driving environment. Android AutoTM and CarPlay® are registered trademarks of Google LLC and Apple Inc. respectively, and are only available with compatible 
phones. 
¢Depending on compatibility and configuration of smartphone. Ω10 year Anytime Warranty is extendable up to the maximum age of 10 years/1 20 000 kilometres by renewing every year and is applicable from the date of purchase of car. Android AutoTM and CarPlay® are registered trademarks of Google LLC. and Apple Inc. For more information, please visit our authorized dealership or www.hondacarindia.com. Honda Cars India Limited urges drivers to follow traffic rules which are meant to keep them safe on 
roads. For corporate sales enquiry please write to corporatesales@hondacarindia.com.
Scan now to Book or Buy
Roadside Assistance 
Ω
Standard Warranty
Industry-first
Extended Warranty
Industry-first
Anytime Warranty
3 Years / Unlimited Kilometers
7 Years/ Unlimited Kilometers
10 Years/ 1 20 000 Kilometers
SAFETY
Advanced Compatibility Engineering (ACETM) Body Structure
Driver Seat i-SRS Airbag System
Passenger Seat SRS Airbag System
Driver & Assistant Seat Pretensioner with Load Limiter
ISOFIX Child Seat Anchorage
Anti-Lock Braking System (ABS) with EBD
Engine Immobilizer
Day/ Night Rear-view Mirror
Rear Parking Sensor
Impact Sensing Door Unlock
Seat Belt Reminder for All 5 Seats
High Speed Alert
Key Off Reminder
Door Ajar Warning Lamp
Dual Horn
EXTERIOR
Sleek Stylish Halogen Headlamps
Headlamp Integrated Signature LED Position Lights
Premium C-Shaped LED Rear Combination Lamps
Sleek Chrome Fog Lamp Garnish
Integrated LED Turn Indicators on Door Mirrors
Sleek Solid Wing Face Front Chrome Grille
Full R14 Trim Wheel
Shark Fin Antenna
Body Coloured Front & Rear Bumper
Premium Chrome Garnish on Rear Bumper
Reflectors on Rear Bumper
Body Coloured Outer Door Handles Finish
Body Coloured Door Mirrors
Black Sash Tape on B-Pillar
INTERIOR
Advanced Multi-Information Combination Meter
MID LCD Screen (3.8cm X 3.2cm)
Average Fuel Consumption Display
Cruising Range Display
Tachometer
Dual Trip Meters
Meter Illumination Control
Shift Position Indicator (CVT Only)
Piano Black Meter Ring Garnish
Satin Silver Ornamentation on Dashboard
Satin Silver Door Ornamentation
Silver Inside Door Handle
Satin Silver Finish on AC Outlet Ring
Chrome Finish AC Vent Knobs
Steering Wheel Satin Silver Garnish
Door Lining with Fabric Pad
Dual Tone Instrument Panel (Black & Beige)
Dual Tone Door Panel (Black & Beige)
Premium Beige Seat Fabric
Leather Shift Lever Boot (MT Only)
Trunk Lid Lining Inside Cover
ENTERTAINMENT
Integrated 2DIN  LCD Screen Audio with Aux-In Port
Bluetooth for Handsfree Telephone & Audio Streaming 
Support
USB-In Port x 1
AM/FM Radio, MP3, iPod
Steering Mounted Handsfree Telephony Controls
Steering Mounted Audio Controls
4 Door Speakers (17 cm)
COMFORT & CONVENIENCE
Manual Air Conditioner with Heater
Dust & Pollen Filter
Central Locking & Keyless Entry
Driver Side Power Door Lock Master Switch
Speed Sensing Auto Door Lock
Power Window (Front & Rear)
Driver Side Window One Touch Down
Power Adjustable ORVM
Power Folding ORVM
Accessory Socket (Front & Rear)
Power Steering (EPS)
Tilt Steering
Height Adjustable Driver Seat
Seat Back Pocket
1L Bottle Holder on All Doors
Front Cupholder
Front Seat Adjustable Headrests
Rear Fixed Pillow Headrests (x2)
Rear Centre Foldable Armrest with Cupholder
Interior Light
Trunk Light for Cargo Area Illumination
Assistant Side Vanity Mirror
Grab Rails (x4)"
a9497093fd27,HONDA,City,City.pdf,v1,2,infotainment_connectivity,"One look and you’ll feel
a connection that matches your energy.
It’s less about the drive and more about the feeling.
It's everything you ever dreamt of.
Meet the new Honda City.
All Feels. All New. All Vibe.
Feel the
All New Vibe"
45c856209719,HONDA,City,City.pdf,v1,3,exterior_styling,"Exterior
Turn Heads with
a Striking New Vibe"
ee32cb8b3063,HONDA,City,City.pdf,v1,4,exterior_styling,"Aero-Blade Diamond Cut Alloy Wheels
Sharp Front Design with Blade-Eye 
Signature LED Lighting System
Signature Matrix-Mesh Lower
Bumper Garnish  
Sporty Trunk Lip Spoiler
Signature Z-Edge Wrap LED
Tail Lamps with Clear Lens"
4f0356abf57a,HONDA,City,City.pdf,v1,5,general,"Crystal Black
Pearl
Radiant Red
Metallic
Obsidian Blue
Pearl
Platinum White
Pearl
Lunar Silver
Metallic
For Every Shade of YouVibe
A Vibrant New
Meteoroid Gray
Metallic"
e13b7bf1832f,HONDA,City,City.pdf,v1,6,interior_comfort,"Interior
Lit Interiors for a Cool Vibe"
d9d97c682f9a,HONDA,City,City.pdf,v1,7,interior_comfort,"Perforated Ivory Leather Seats
Luxurious Ivory & Black
Two-Tone Interiors
Dark Iron 3D Pattern
  Garnish with Welcome
     Ambient Light"
f4cb2fe9a663,HONDA,City,City.pdf,v1,8,infotainment_connectivity,"Fully Automatic Climate Control & Ventilated Seats Control
Wireless Charger
e:HEV only. Plug & play type available for petrol (i-VTEC) model as an accessory.
25.6 cm (10.1 inches) Touchscreen with Wireless Smartphone Connectivity"
c0f52c5d9968,HONDA,City,City.pdf,v1,9,infotainment_connectivity,"PM 2.5 Cabin Air Purifying Filter
One-Touch Electric Sunroof
8-Speaker Premium
Surround Sound System 
(4 Speakers + 4 Tweeters)     
17.7 cm (7 inches) HD Full Colour TFT Meter
Ambient Light - Front Footwell"
